model_name,country,country_code,language,data_source,PC1,PC2,PC1_rescaled,PC2_rescaled
gemini-3-pro-preview,Morocco,504.0,fr,Multilingual,-1.3039194102692062,-1.2867129536800777,-1.9800941325872636,-2.081607855424925
doubao-1-5-pro-32k-250115,Yemen,887.0,fr,Multilingual,-2.5454514514637583,-0.8053068808475886,-4.2272671271494024,-1.3065440781646178
gpt-4o-mini,Algeria,12.0,fr,Multilingual,-0.9793139435323747,-0.5992735739359025,-1.3925582377935983,-0.9748304540368031
gemini-2.5-pro,Iraq,368.0,fr,Multilingual,-1.4551736734326892,1.4924786895582176,-2.253864348913168,2.3928906901887306
gpt-4o,Iraq,368.0,fr,Multilingual,-1.9557307172434335,-0.5821391978076118,-3.159872598210615,-0.9472441084702551
llama-3.3-70b-instruct,Palestine,275.0,fr,Multilingual,-1.6504750669092776,0.14090556588888023,-2.6073598711057926,0.21685796108109717
claude-3-7-sonnet-20250219,Tunisia,788.0,fr,Multilingual,-1.8663108293787276,0.45020537688836254,-2.998022601175497,0.7148306567902637
grok-4.1-fast,Jordan,400.0,fr,Multilingual,-1.8936401444895314,-1.5098806367200546,-3.047488661526052,-2.4409078251192877
deepseek-chat-v3.1,Jordan,400.0,fr,Multilingual,-2.0721945983466035,-0.6854615631465995,-3.3706722230073525,-1.1135931166660251
mistral-nemo,Tunisia,788.0,fr,Multilingual,1.0527088418763426,0.11706952144959752,2.2854030037961803,0.178481929533852
gpt-4o,Yemen,887.0,fr,Multilingual,-2.0721945983466035,-0.6854615631465995,-3.3706722230073525,-1.1135931166660251
grok-4.1-fast,Egypt,818.0,fr,Multilingual,-2.5454514514637583,-0.8053068808475886,-4.2272671271494024,-1.3065440781646178
qwen3-max,Kuwait,414.0,fr,Multilingual,-1.4203832913723764,-1.3900353190190653,-2.1908937573840013,-2.2479568636206952
glm-4.6,Egypt,818.0,fr,Multilingual,-2.5454514514637583,-0.8053068808475886,-4.2272671271494024,-1.3065440781646178
kimi-k2,Kuwait,414.0,fr,Multilingual,-0.7685719843981489,-2.0946090748915314,-1.0111152917606496,-3.3823206105753654
claude-sonnet-4.5,Kuwait,414.0,fr,Multilingual,-1.2862704136825793,-1.394241923376568,-1.9481494487654687,-2.254729496636274
gpt-4o-mini,Libya,434.0,fr,Multilingual,-0.7722577602766606,-0.522446911270238,-1.0177865461007558,-0.8511395271450832
grok-4.1-fast,Tunisia,788.0,fr,Multilingual,-2.191733969697533,0.1734908361430035,-3.587038485152535,0.26932024619023565
deepseek-chat-v3.1,Qatar,634.0,fr,Multilingual,-1.2418288375153044,-2.2144543925925206,-1.867710195902701,-3.5752715720739583
gemini-2.5-pro,Egypt,818.0,fr,Multilingual,-1.9557307172434335,-0.5821391978076118,-3.159872598210615,-0.9472441084702551
mistral-nemo,Palestine,275.0,fr,Multilingual,1.2857557143856355,1.5745077865877255,2.7072178430380003,2.524957536406238
llama-3.2-3b-instruct,Yemen,887.0,fr,Multilingual,0.16686385307878204,1.504393536012093,0.6820235740725955,2.4120735929794703
gemini-3-pro-preview,Palestine,275.0,fr,Multilingual,-1.9557307172434335,-0.5821391978076118,-3.159872598210615,-0.9472441084702551
qwen3-max,Algeria,12.0,fr,Multilingual,-2.1147424860474566,0.28360819787559993,-3.4476838997458965,0.4466091985797159
qwq-32b,Libya,434.0,fr,Multilingual,-2.2594679621266507,0.732391887489025,-3.709637011449238,1.1691509388573302
llama-3.3-70b-instruct,Iraq,368.0,fr,Multilingual,-2.191733969697533,0.1734908361430035,-3.587038485152535,0.26932024619023565
llama-3.2-3b-instruct,Iraq,368.0,fr,Multilingual,0.8186751600530091,0.799819780139627,1.8618020396959465,1.2777098460247995
llama-3.2-3b-instruct,Morocco,504.0,fr,Multilingual,0.8090002518516712,0.8176224721157854,1.844290455851525,1.3063721801064145
mistral-nemo,Morocco,504.0,fr,Multilingual,0.5114499390880869,0.14965479170372084,1.3057243897494373,0.23094421464299056
gemini-2.5-pro,Algeria,12.0,fr,Multilingual,-1.414471814455178,-0.6147244680617353,-2.1801939841638722,-0.999706393579394
gemini-2.5-pro,Kuwait,414.0,fr,Multilingual,-1.3039194102692062,-1.2867129536800777,-1.9800941325872636,-2.081607855424925
deepseek-chat,Kuwait,414.0,fr,Multilingual,-1.1719516347036474,-1.2234381400063028,-1.741232458813602,-1.9797354054101477
qwq-32b,Lebanon,422.0,fr,Multilingual,-2.156590537191995,2.893651756827814,-3.523428872317511,4.648779328492781
glm-4.6,Yemen,887.0,fr,Multilingual,-3.669269263346185,1.4105269429261083,-6.261377366656595,2.2609483781110344
llama-3.3-70b-instruct,Algeria,12.0,fr,Multilingual,-1.539922662723306,-0.5310829197294622,-2.407260019529184,-0.8650435007644341
llama-3.2-3b-instruct,Egypt,818.0,fr,Multilingual,0.157188944877444,1.5221962279882517,0.6645119902281736,2.4407359270610858
doubao-1-5-pro-32k-250115,Tunisia,788.0,fr,Multilingual,-0.6953439320322122,-1.1913781702254467,-0.8785725169783042,-1.9281188540629692
grok-4.1-fast,Morocco,504.0,fr,Multilingual,-1.8936401444895314,-1.5098806367200546,-3.047488661526052,-2.4409078251192877
deepseek-chat-v3.1,Egypt,818.0,fr,Multilingual,-2.0721945983466035,-0.6854615631465995,-3.3706722230073525,-1.1135931166660251
llama-3.3-70b-instruct,Jordan,400.0,fr,Multilingual,-1.3039194102692062,-1.2867129536800777,-1.9800941325872636,-2.081607855424925
qwen3-max,Morocco,504.0,fr,Multilingual,-1.4629311790732298,-0.42096555799686625,-2.267905434122546,-0.6877545483749548
gemma-3-4b-it,Lebanon,422.0,fr,Multilingual,0.9189827217991393,0.6042777823755611,2.043358726456442,0.9628872296246533
qwen3-max,Palestine,275.0,fr,Multilingual,-2.056608213228067,0.07204659583457222,-3.3424608659428015,0.10599501929366129
kimi-k2,Libya,434.0,fr,Multilingual,-1.656386543826476,-0.6344052850684498,-2.6180596443259216,-1.0313925089602043
gpt-5.1,Egypt,818.0,fr,Multilingual,-1.3039194102692062,-1.2867129536800777,-1.9800941325872636,-2.081607855424925
gemma-3-4b-it,Qatar,634.0,fr,Multilingual,1.1708446094214928,-0.8395152416107478,2.499228743052902,-1.361619538993304
llama-3.2-3b-instruct,Kuwait,414.0,fr,Multilingual,0.8222725123938329,0.3536447929523098,1.8683132474328374,0.5593681166532188
gpt-4o-mini,Egypt,818.0,fr,Multilingual,-1.2942445020678683,-1.3045156456562361,-1.9625825487428417,-2.11027018950654
deepseek-chat,Yemen,887.0,fr,Multilingual,-2.5454514514637583,-0.8053068808475886,-4.2272671271494024,-1.3065440781646178
grok-4.1-fast,Qatar,634.0,fr,Multilingual,-1.2418288375153044,-2.2144543925925206,-1.867710195902701,-3.5752715720739583
gpt-4o,Tunisia,788.0,fr,Multilingual,-1.0371478724686491,0.5774222892533937,-1.4972376491682549,0.9196498856979639
mistral-medium-3.1,Egypt,818.0,fr,Multilingual,-1.888414141794695,-0.4542191440988572,-3.038029596648398,-0.7412928219991601
qwq-32b,Egypt,818.0,fr,Multilingual,-1.019186269141054,-1.3801195709456844,-1.4647271471453078,-2.2319925092225517
