country,stage1_PC1,stage1_PC2,stage3_PC1,stage3_PC2,PC1_diff,PC2_diff,distance
Mexico,0.5651309923829689,-1.6026436360161056,0.5605791174705802,-1.6039730252848918,-0.004551874912388731,-0.0013293892687862296,0.0047420292118456955
Bangladesh,-1.0645857402933676,-1.8692159595215534,-1.070716849455861,-1.8667717634751955,-0.0061311091624933756,0.002444196046357927,0.006600348011691652
Lebanon,-1.1688407268665548,-0.5401306507393211,-1.1692874084157971,-0.5370042899736199,-0.0004466815492423226,0.003126360765701164,0.0031581095680405214
Yemen,-1.5902777922298645,-1.5050021996097651,-1.5955440018143836,-1.5019006080897142,-0.005266209584519066,0.0031015915200509614,0.006111696437596726
Ireland,1.478989121025023,-0.6756696733764577,1.471659346541542,-0.6804075527917517,-0.007329774483481044,-0.004737879415294022,0.008727719938939187
Chile,0.20443247528120154,-0.16346280635753152,0.2049101317688054,-0.1632640769307289,0.0004776564876038669,0.00019872942680262962,0.0005173481470222589
Estonia,0.3070516938009283,1.3518616036806672,0.30960598499741226,1.3505745804480316,0.002554291196483982,-0.0012870232326356312,0.002860215432057425
Denmark,4.300651009917215,1.8621686209546977,4.302294272092793,1.8514413631524145,0.0016432621755777532,-0.01072725780228323,0.010852390083955284
Slovakia,0.49143235184839745,0.8705712049771257,0.49015207511385006,0.8695746602447931,-0.001280276734547392,-0.0009965447323325716,0.0016224086786513223
Bolivia,-0.5603481911478062,-1.4017052600671076,-0.5657103011462892,-1.3995853105024443,-0.005362109998482967,0.002119949564663326,0.005765969978463921
Latvia,-0.05924078355892076,1.0185810711955623,-0.06078870631220319,1.0179093130676027,-0.0015479227532824297,-0.0006717581279596097,0.0016874015030837375
Pakistan,-0.7922105392587689,-1.5493253495713295,-0.7954352013332457,-1.5486339558840483,-0.003224662074476803,0.0006913936872812165,0.0032979494728363192
Bulgaria,-0.6235502424784437,1.0870023423670425,-0.6234282874792925,1.0880516557710298,0.00012195499915124142,0.0010493134039872842,0.001056376657071407
Greece,-0.02340169000785529,0.24503909204681645,-0.02410933014793725,0.24467212532074106,-0.0007076401400819624,-0.0003669667260753906,0.0007971318246699916
Nigeria,-1.1874510192154104,-1.5994031142478953,-1.1927165593852627,-1.5969999144495384,-0.005265540169852256,0.002403199798356903,0.00578802924587898
Lithuania,-0.3223190708861736,1.1365701537223258,-0.32326067999276625,1.1364125040730884,-0.0009416091065926335,-0.00015764964923747904,0.0009547152044054173
Myanmar,-1.292894634935304,-1.4839004996780671,-1.2951269539374362,-1.4819029337547611,-0.002232319002132055,0.0019975659233060217,0.0029955830392818846
Cyprus,-0.24699601282688688,-0.43544503990651195,-0.24922548220346138,-0.4349496489739381,-0.0022294693765745055,0.0004953909325738359,0.002283844538745991
Switzerland,3.222664340197807,1.2877405883998685,3.223928875356579,1.2799095094331499,0.0012645351587723397,-0.007831078966718641,0.007932518323379687
Ukraine,-0.8620481365400214,0.5115406547556454,-0.861406956160718,0.5130427321006935,0.0006411803793033855,0.0015020773450481473,0.0016332019560698927
Sweden,4.495347688746103,2.3386952685650373,4.503080201226858,2.327978958621768,0.00773251248075546,-0.01071630994326922,0.01321480412511853
Andorra,2.9927413682156034,1.4706593371924823,2.998601781676814,1.4648735280782397,0.0058604134612103564,-0.005785809114242646,0.008235291922135415
France,2.6781764890814816,1.212710365435947,2.677253602115082,1.2069838505834578,-0.0009228869663995276,-0.005726514852489206,0.005800404529731491
Azerbaijan,-1.3545418046245938,-1.1084297655811803,-1.3598720279306165,-1.1063180196495672,-0.005330223306022619,0.002111745931613118,0.005733301960628905
Georgia,-1.5389290678551701,-1.1203911791934817,-1.54525378589557,-1.1170888592432286,-0.0063247180403998016,0.0033023199502530964,0.007134940458363918
Macao,0.8514381356151334,1.6779654487661928,0.8611255607343791,1.675698506823594,0.009687425119245696,-0.00226694194259891,0.009949132183869436
United Kingdom,3.1259015108661603,1.1141712012360565,3.1275245849130515,1.1075442809605311,0.0016230740468912153,-0.006626920275525361,0.006822788410896307
Canada,3.1460225110358735,0.9631136814512636,3.1508058411033133,0.957185554053791,0.004783330067439806,-0.005928127397472616,0.007617279105739736
Romania,-1.3132408496456427,-0.2698772382390608,-1.3160180084863486,-0.2665958066839021,-0.002777158840705951,0.003281431555158698,0.004298884073536114
Slovenia,1.4919978683135593,1.0985165469120313,1.4941130657139556,1.0953826760736973,0.0021151974003963403,-0.003133870838333941,0.003780900220053858
Viet Nam,0.49741090826736833,-0.7045440270345295,0.498162946530238,-0.7057380619560767,0.0007520382628696809,-0.001194034921547238,0.0014111275430287533
Venezuela,-0.26219542355403985,-1.170963310997365,-0.2663050247918949,-1.1700612680376752,-0.004109601237855032,0.0009020429596897639,0.004207434353059532
Finland,2.9340563393306973,1.3501035556262795,2.936790233089893,1.3427145999305112,0.002733893759195638,-0.007388955695768251,0.00787850502066191
