model_name,country,native_language,en_distance,native_distance,english_advantage
claude-3-7-sonnet-20250219,Chile,es,1.022454654710618,1.011109482150172,-1.122051841143832
claude-sonnet-4.5,Chile,es,3.2013768082845773,2.6307117384454286,-21.692421161140704
deepseek-chat,Chile,es,0.6209470012610971,1.7915651645506867,65.34052941262526
deepseek-chat-v3.1,Chile,es,1.022330469176953,0.9285970347683697,-10.094091505683544
doubao-1-5-pro-32k-250115,Chile,es,0.8246833527335502,0.6209470012610971,-32.810586259162164
gemini-2.5-flash,Chile,es,0.8785214824105948,1.5690510480161852,44.00937537874596
gemini-2.5-pro,Chile,es,1.3096906899945988,1.3096906899945988,0.0
gemini-3-pro-preview,Chile,es,2.133241517667568,1.581171430618309,-34.91525816611642
gemma-3-4b-it,Chile,es,2.6777965121538956,1.6453831998445194,-62.746071091945886
gpt-4o,Chile,es,0.48057217523611273,1.0483311248148313,54.15836047785025
gpt-4o-mini,Chile,es,3.278726899682749,3.6540950286627645,10.272533309495879
gpt-5.1,Chile,es,2.824802124801086,1.5690510480161852,-80.0325189147031
grok-4.1-fast,Chile,es,0.6229861532463373,2.0279058031041552,69.2793347554546
kimi-k2,Chile,es,1.7288208569699548,2.962128271135119,41.63585440182669
llama-3.2-3b-instruct,Chile,es,2.1909432682655363,3.6465755924139036,39.91778827173004
llama-3.3-70b-instruct,Chile,es,0.28174675959941226,1.519451383668885,81.45733633680972
mistral-medium-3.1,Chile,es,2.19812638125481,0.980127588244178,-124.26941222954267
mistral-nemo,Chile,es,2.7167264449922612,2.4765659437362673,-9.697319058408604
phi-3-mini-128k-instruct,Chile,es,2.9955733489283367,3.40932610443627,12.13591023075063
qwen3-max,Chile,es,0.980127588244178,1.2123961635261014,19.157811800261683
claude-3-7-sonnet-20250219,China,zh-cn,0.4416493761372022,0.9469782173013273,53.36224550171781
claude-sonnet-4.5,China,zh-cn,0.5452957929176236,0.7284231306146448,25.140241983048778
deepseek-chat,China,zh-cn,0.6993419319611258,0.7982622005225349,12.39195197977016
deepseek-chat-v3.1,China,zh-cn,0.8010061309103195,0.7151810482300407,-12.000469376625988
doubao-1-5-pro-32k-250115,China,zh-cn,0.5932091581242823,0.9327816357914106,36.404284200880625
gemini-2.5-flash,China,zh-cn,0.4560539436870378,0.6993419319611258,34.788131120902335
gemini-2.5-pro,China,zh-cn,0.2947412176179297,1.1683769947214213,74.77344907084502
gemini-3-pro-preview,China,zh-cn,1.4301248252770176,1.0242677044788047,-39.62412551167295
gemma-3-4b-it,China,zh-cn,1.5857616187198438,1.029708557323401,-54.00101392202016
gpt-4o,China,zh-cn,0.3033248775029833,0.34566990924840396,12.250135349499232
gpt-4o-mini,China,zh-cn,0.7392183146461673,0.7269340554449073,-1.6898725694920989
gpt-5.1,China,zh-cn,1.032622804028257,1.2729322060649422,18.878413232984467
grok-4.1-fast,China,zh-cn,0.488136440923027,0.044058818921071906,-1007.9199417430756
kimi-k2,China,zh-cn,0.9911983014128605,0.262585990712985,-277.47569804524426
llama-3.2-3b-instruct,China,zh-cn,2.120618050501259,2.7333437142661183,22.41670744029978
llama-3.3-70b-instruct,China,zh-cn,0.721282647949332,0.8186619235444871,11.89493156998689
mistral-medium-3.1,China,zh-cn,1.2695286264714396,0.9850641252579143,-28.87776479922517
mistral-nemo,China,zh-cn,1.7336981897265107,2.9185853338765955,40.59799555616435
phi-3-mini-128k-instruct,China,zh-cn,2.70234096014245,0.7773005816809864,-247.65713854200143
qwen3-max,China,zh-cn,0.525047417708496,0.5601045221116857,6.25902898820005
claude-3-7-sonnet-20250219,Colombia,es,1.1046926656110159,2.3912620802383606,53.80294469852086
claude-sonnet-4.5,Colombia,es,1.2861450695522851,2.1599437411061917,40.454695875847214
deepseek-chat,Colombia,es,0.9257895566514737,2.4573888479434043,62.326289653903586
deepseek-chat-v3.1,Colombia,es,1.116164827986858,1.0864167811312806,-2.7381799850883013
doubao-1-5-pro-32k-250115,Colombia,es,0.8973198366528471,0.9954292696390902,9.855992382242722
gemini-2.5-flash,Colombia,es,2.183529175392711,2.1818618748847443,-0.07641640963431254
gemini-2.5-pro,Colombia,es,1.9112223767363057,1.197525772677537,-59.597598677398054
gemini-3-pro-preview,Colombia,es,0.8642618595654745,1.072967604834914,19.451262491895154
gemma-3-4b-it,Colombia,es,3.1852868546126474,3.021801224847533,-5.410204629636523
gpt-4o,Colombia,es,1.1434728681919009,1.2672694183558493,9.768763324578732
gpt-4o-mini,Colombia,es,3.8473232378558646,5.140581144925967,25.157815247146104
gpt-5.1,Colombia,es,1.7193472915204222,1.0055973705951962,-70.97770358158051
grok-4.1-fast,Colombia,es,1.2026781521865157,2.4294169277144286,50.4951933747336
kimi-k2,Colombia,es,1.7388352526326731,1.5806606432855006,-10.006867066570143
llama-3.2-3b-instruct,Colombia,es,3.6578653360449307,3.0378590205503433,-20.409318250136113
llama-3.3-70b-instruct,Colombia,es,1.1584227078164053,2.500333211475137,53.66926686011727
mistral-medium-3.1,Colombia,es,1.6761558201193745,1.036132715827684,-61.77037888244141
mistral-nemo,Colombia,es,3.810888541544669,3.4497498958361796,-10.468545738471672
phi-3-mini-128k-instruct,Colombia,es,4.101109539046911,4.263286901725622,3.804045245302806
qwen3-max,Colombia,es,2.378288105927213,2.26527244137485,-4.989053964907251
claude-3-7-sonnet-20250219,Ecuador,es,2.313313546601381,2.313313546601381,0.0
claude-sonnet-4.5,Ecuador,es,2.246947200539554,2.102230218318089,-6.88397402722368
deepseek-chat,Ecuador,es,1.0241257980027938,2.379647166483632,56.96312409557217
deepseek-chat-v3.1,Ecuador,es,0.9569649158301464,2.15273720813116,55.54659843219277
doubao-1-5-pro-32k-250115,Ecuador,es,1.276552283362785,0.9998895477802033,-27.669329697143496
gemini-2.5-flash,Ecuador,es,2.2599927634752195,0.90699898862518,-149.17257811950748
gemini-2.5-pro,Ecuador,es,0.8810944199200783,2.209625358801917,60.124714517314494
gemini-3-pro-preview,Ecuador,es,0.893516285053932,0.893516285053932,0.0
gemma-3-4b-it,Ecuador,es,3.2050372358613464,3.0728946844543663,-4.30026294345469
gpt-4o,Ecuador,es,1.1216956645808254,1.3131117537343955,14.577288536881685
gpt-4o-mini,Ecuador,es,2.326550414415905,3.4068584049100896,31.709800117821306
gpt-5.1,Ecuador,es,0.8810944199200783,0.9210291223433814,4.335878361988916
grok-4.1-fast,Ecuador,es,2.212391012565835,2.24408974773042,1.412543112263848
kimi-k2,Ecuador,es,0.9697935055722942,1.189707776783097,18.484730074257286
llama-3.2-3b-instruct,Ecuador,es,3.9248128886092215,3.9248128886092215,0.0
llama-3.3-70b-instruct,Ecuador,es,1.2581940664986382,2.4362156977810727,48.35457026056385
mistral-medium-3.1,Ecuador,es,1.051181854149937,0.9210291223433814,-14.13122871461512
mistral-nemo,Ecuador,es,3.7132796936568835,3.634664956291988,-2.162915655507805
phi-3-mini-128k-instruct,Ecuador,es,4.4125821899351,4.591997484749758,3.9071296404343516
qwen3-max,Ecuador,es,0.9762020701085609,2.0440978893562116,52.242890362945595
claude-3-7-sonnet-20250219,Egypt,ar,1.041805743285278,0.938340196477584,-11.026442989023728
claude-sonnet-4.5,Egypt,ar,1.1466803906117742,1.1936455240998103,3.93459637218972
deepseek-chat,Egypt,ar,0.938340196477584,1.1936455240998103,21.388705647329022
