country,pc1_std,pc2_std,consistency,model_count
Ireland,1.4898361741884192,0.0631595041358823,0.3916967069275909,7
Finland,1.4644726355680906,0.0939064767232092,0.39087248453353496,7
Nigeria,0.3209853598970231,1.2818552314531746,0.3841956373829486,7
Belarus,0.30393314470048616,1.329233032112077,0.3797709422238197,7
Uzbekistan,0.3596941719524277,1.2853928354211202,0.3780593973704309,7
Argentina,1.5780993275750343,0.07376233486681481,0.37709357700024004,7
Albania,0.42168641417931935,1.2785841432217728,0.37033326059091726,7
Slovakia,1.506038057489325,0.2156706963838598,0.3674162412039602,7
Mali,0.3397724178809598,1.3842032604614634,0.36711047310397193,6
Korea_(the_Republic_of),0.3884927575811402,1.3371574851081933,0.36688493055269045,7
Maldives,0.3565101124383434,1.3708290634065132,0.3666577332429608,6
"Palestine,_State_of",0.4516827524692403,1.2767344006881134,0.36651286950120116,7
Cyprus,0.4067931484191417,1.3442393871410538,0.3634998812532651,7
Myanmar,0.4591976765167403,1.3023330891178604,0.3621180008002553,7
Armenia,0.4427694835363851,1.3251902441491286,0.361276932607748,7
Iceland,1.6665936362521987,0.10215874817143493,0.36117350385891167,7
Pakistan,0.48061371153792615,1.289158694272076,0.3610404948443973,7
Latvia,0.4145126658695406,1.3700932320804642,0.35911724554493996,7
Ghana,0.5174471333572667,1.2825935902808125,0.3571376628768116,7
Zambia,0.5215483179503414,1.282827590451623,0.35658557649278777,7
Lithuania,1.663679793856832,0.185708073546965,0.3509525717575067,7
Mongolia,0.5934583212435072,1.3253274823537426,0.34260821700843985,7
Guatemala,0.588688980616496,1.3447194844086527,0.3409003594020197,7
Haiti,0.7211954786786499,1.2622138410859467,0.33518699340890445,7
Germany,1.7808400170803684,0.21439278082919608,0.33386386550585345,7
Nicaragua,0.7406894976237044,1.2785488304620813,0.3312093618770419,7
Sweden,1.8636162486721697,0.1561207339509495,0.331154668686192,6
Japan,0.7398977608205956,1.3181271071881762,0.32700845910751164,7
Algeria,0.44147141327215045,1.6421429857633092,0.32429476276696445,7
France,1.9326272847157662,0.16026227559340236,0.3233222462363121,7
Bolivia_(Plurinational_State_of),0.7647196778029003,1.3357693055078381,0.32252977042743375,7
Jordan,0.4683937900339213,1.6535280984067728,0.32031550939907405,7
Egypt,0.46222482968941897,1.662488405601647,0.32002936740108584,7
Netherlands_(the),1.8511594230475454,0.2790516093509979,0.31946727861148194,7
Republic_of_North_Macedonia,0.8479707364255156,1.2858875672201882,0.3190954737285577,7
United_States_of_America_(the),1.6849453062077426,0.450871330830877,0.3188961969869427,7
Uruguay,2.0153893716853095,0.12047805857027098,0.31889103166535887,7
Azerbaijan,0.44589676118917043,1.6918930278921496,0.318695663896841,7
Burkina_Faso,0.4004618002889106,1.742032591983872,0.31821854717034465,6
Viet_Nam,0.8214324674222708,1.3258521115140434,0.31773421656645023,7
Tajikistan,0.4936055491159805,1.6651471082850409,0.3165806596654473,7
Kuwait,0.3333413045408049,1.852106037352764,0.3139276505527027,6
Qatar,0.5015752656528603,1.6957648615062726,0.31275996929626304,4
Ethiopia,0.5490311036750063,1.6585775126999842,0.3117587335608695,7
Canada,1.9571751951455432,0.2790908372538615,0.3089980829723657,7
Montenegro,0.5851889280693552,1.6531821731651928,0.30879722204128335,7
Iran_(Islamic_Republic_of),0.5874328998016393,1.6517888447423625,0.308716129633408,7
Libya,0.43713822617594256,1.81089823410857,0.3078783173241857,7
China,0.5972533973300275,1.6836135418834597,0.3047974875322823,7
Poland,0.9912333040023724,1.2927909196898795,0.3045044530383192,7
Moldova_(the_Republic_of),0.5864253859158597,1.699521038526219,0.3043263251529702,7
Rwanda,0.5881954962533068,1.7209527363893082,0.30219256730044436,7
Bosnia_and_Herzegovina,1.019487396096986,1.2903781984188054,0.3021270717629525,7
Singapore,0.612432639827687,1.7027061309268323,0.3016464978244039,7
Bulgaria,1.0049915650146504,1.3266403028904579,0.3001532100930432,7
Iraq,0.5155114030862421,1.8272490785747462,0.2991539494038498,7
Australia,2.091724460545638,0.30285854884735885,0.2945869926388441,7
Switzerland,2.225301338924119,0.18082663460315265,0.2935884992496138,7
Morocco,0.7462877930608606,1.6640843543394508,0.293223131312015,7
Norway,2.107031614889005,0.3157282437489929,0.2921618931215131,7
Kazakhstan,0.6115761934095901,1.8467164155392128,0.28916003157522413,7
Russian_Federation_(the),0.796328449615439,1.6922818329469735,0.2866470941160822,7
Tunisia,0.7075279754115972,1.812448064457434,0.2840928428698075,7
United_Kingdom_of_Great_Britain_and_Northern_Ireland_(the),1.242977696146468,1.3430869845265967,0.2788572123055826,7
Spain,1.3698217758474098,1.222528216648316,0.27836931314848484,7
Indonesia,1.0269068670005856,1.64022870180269,0.2726924001684338,7
New_Zealand,2.439188240426232,0.2947273366301233,0.26781537486938933,7
Macao,1.049254881257248,1.736966208827464,0.26411558548938996,7
Portugal,1.731644546538344,1.2681654714988995,0.25001187443665446,7
Kyrgyzstan,1.6180415319258408,1.6696588336072387,0.23322525240769068,7
South_Africa,3.22768033765442,0.4973964885563934,0.21163677052885746,7
Hong_Kong,1.9309683011464331,1.984727673911846,0.20342999344831214,7
Yemen,0.4647687065372441,7.940196321953526,0.10632681748105037,7
Lebanon,0.8746407745586767,8.235681669650797,0.09890881379087313,7
Venezuela_(Bolivarian_Republic_of),1.2433898829367704,8.272289972692061,0.09509608638995605,7
