country_code,data_source,PC1_rescaled,PC2_rescaled,Cultural Region,country_code_clean,Country,Numeric,Islamic,country_code_original
764.0,IVS,0.13892297337351073,-0.37053158455044577,West & South Asia,764,Thailand,764,False,764.0
780.0,IVS,-0.5709646655876806,-2.14503677927455,Latin America,780,Trinidad and Tobago,780,False,780.0
788.0,IVS,-1.927127708440656,-0.944285803487293,African-Islamic,788,Tunisia,788,True,788.0
792.0,IVS,-1.1349684146509385,-1.0971784742382358,African-Islamic,792,Turkey,792,True,792.0
804.0,IVS,-0.8620481365400232,0.5115406547557041,Orthodox Europe,804,Ukraine,804,False,804.0
807.0,IVS,0.044615120602795995,0.2316014058151315,Orthodox Europe,807,Republic of North Macedonia,807,False,807.0
818.0,IVS,-2.114761788074069,-0.8955747725659734,African-Islamic,818,Egypt,818,True,818.0
826.0,IVS,3.1259015108661976,1.1141712012359903,English-Speaking,826,United Kingdom of Great Britain and Northern Ireland (the),826,False,826.0
840.0,IVS,2.0833316426183677,0.3218169517765149,English-Speaking,840,United States of America (the),840,False,840.0
854.0,IVS,-0.921956976083699,-1.2510416759879401,African-Islamic,854,Burkina Faso,854,True,854.0
858.0,IVS,1.437325089577464,-0.12517588427961968,Latin America,858,Uruguay,858,False,858.0
860.0,IVS,-0.08308854186591451,-2.015950175110546,African-Islamic,860,Uzbekistan,860,True,860.0
862.0,IVS,-0.2621954235540585,-1.1709633109973483,Latin America,862,Venezuela (Bolivarian Republic of),862,False,862.0
887.0,IVS,-1.5902777922299296,-1.50500219960973,African-Islamic,887,Yemen,887,True,887.0
894.0,IVS,-0.9866468608048091,-0.5122826229815834,African-Islamic,894,Zambia,894,True,894.0
909.0,IVS,1.7110694372075823,0.12347422757414521,English-Speaking,909,Northern Ireland,909,False,909.0
915.0,IVS,-0.7410415868923448,-1.3806582685765778,African-Islamic,915,Kosovo,915,True,915.0
