model_name,model_region,country_name,cultural_region,distance,roleplay_pc1,roleplay_pc2,real_pc1,real_pc2
openai/gpt-4o-mini,US,Spain,Catholic Europe,1.762609085728814,0.0145291000897676,1.3481074403007525,1.6833328830843026,0.7807585855765232
openai/gpt-4o-mini,US,Switzerland,Protestant Europe,2.682352742393279,4.721708116536719,3.4978685652741612,3.243594456442572,1.2595217998091164
openai/gpt-4o-mini,US,Tajikistan,West & South Asia,1.2379020211087808,-1.2863081890635586,-0.8971294889097263,-0.5772266513522449,-1.9118239191408986
openai/gpt-4o-mini,US,Trinidad and Tobago,Latin America,1.7316493914194397,0.5486452971661187,-0.8356113283274428,-0.5924128961967157,-2.1381457095100895
openai/gpt-4o-mini,US,Thailand,Confucian,0.6036170290679601,-0.23265495190733165,0.11561737811437724,0.13263575488166274,-0.36492004739421674
openai/gpt-4o-mini,US,Turkey,West & South Asia,0.7448274775908794,-0.8639482321323043,-0.3965950832836737,-1.1447837734089839,-1.0864496840005395
openai/gpt-4o-mini,US,Tunisia,African-Islamic,0.6521744050660297,-1.2863081890635586,-0.8971294889097263,-1.937875389826942,-0.9252655425171278
openai/gpt-4o-mini,US,Republic of North Macedonia,Orthodox Europe,0.8300656475656619,-0.6112967009150228,-0.26791253602382376,0.05666216463627554,0.2248753830651331
openai/gpt-4o-mini,US,Ukraine,Orthodox Europe,0.9763277505416407,-1.152732642270184,-0.4105836466769519,-0.8539628263282116,0.5189067909068352
openai/gpt-4o-mini,US,Egypt,African-Islamic,0.8370698073210489,-1.2863081890635586,-0.8971294889097263,-2.12311635402372,-0.8762020575215932
openai/gpt-4o-mini,US,United Kingdom of Great Britain and Northern Ireland (the),English-Speaking,1.270369610659715,2.7832479729526662,2.3097323236403624,3.141259297126928,1.0908529861131782
openai/gpt-4o-mini,US,Uzbekistan,West & South Asia,1.6985120866220087,-1.4642401551523925,-0.9878087571032946,-0.10682946930313282,-2.008778657905122
openai/gpt-4o-mini,US,Uruguay,Latin America,1.6122079653799841,0.8243428537297615,1.363775126024757,1.433363941182468,-0.12897664124017952
openai/gpt-4o-mini,US,United States of America (the),English-Speaking,1.3059209811849422,3.2711237513033677,0.858149368888335,2.0849628567098253,0.3118418170129382
openai/gpt-4o-mini,US,Venezuela (Bolivarian Republic of),Latin America,0.7912566009644731,-0.7372869187054324,-0.522759902902175,-0.2747913299448475,-1.1647761324064232
openai/gpt-4o-mini,US,Yemen,African-Islamic,0.35828130840837186,-1.5675613132149606,-1.1351604586530333,-1.6038641674711291,-1.4915978286462346
openai/gpt-4o-mini,US,Zambia,African-Islamic,0.6784339247293898,-1.4642401551523925,-0.9878087571032946,-0.9931834648435159,-0.4995688726827666
google/gemini-2.0-flash-001,US,Albania,Orthodox Europe,1.5939437593036385,-2.4371198884626724,-0.9898327133520216,-1.0069496845986647,-0.2860785689218816
google/gemini-2.0-flash-001,US,Australia,English-Speaking,1.9181103584556791,2.4280302686291444,2.3670422363229764,3.377301413077362,0.700299412269744
google/gemini-2.0-flash-001,US,Azerbaijan,Orthodox Europe,1.0298754299283348,-2.3248699520413565,-0.7356526087762947,-1.361384655686369,-1.0994375519471384
google/gemini-2.0-flash-001,US,Argentina,Latin America,1.89894707396369,-1.1219522253047063,-0.489595012670779,0.7526758953128055,-0.1866603677301329
google/gemini-2.0-flash-001,US,Andorra,Catholic Europe,3.8269347364142767,-0.5421133172071537,0.02012898553794599,3.00541476527282,1.4555641045141303
google/gemini-2.0-flash-001,US,Algeria,African-Islamic,1.7640286785329304,-2.8294350579065535,-1.4927901443275011,-1.1802393104744264,-0.8667305901807535
google/gemini-2.0-flash-001,US,Austria,Catholic Europe,2.2229995581519733,-0.020124137692138666,1.2922598520961075,2.1927676171982413,1.080512085444266
google/gemini-2.0-flash-001,US,Bangladesh,West & South Asia,1.0183239297835418,-1.830398662255706,-1.1653535646264375,-1.083683519828842,-1.8577408276810259
google/gemini-2.0-flash-001,US,Belgium,Catholic Europe,2.3596524556801177,0.2133904792439105,1.6739050585129158,2.43483317552102,0.8781965322582989
google/gemini-2.0-flash-001,US,Armenia,Orthodox Europe,0.4326736338173265,-1.5895411969809428,-0.7451389063037768,-1.2492145899292546,-1.0123172623384222
google/gemini-2.0-flash-001,US,Bosnia and Herzegovina,Orthodox Europe,0.7660578948149109,-1.4381582787157519,0.23651196539325686,-0.6738743219381621,0.18440887891419683
google/gemini-2.0-flash-001,US,Bulgaria,Orthodox Europe,0.6738615188136913,-1.10204218837145,0.6332473500649113,-0.6067201787522093,1.0901340464401195
google/gemini-2.0-flash-001,US,Brazil,Latin America,1.2863384825726607,-1.234202161726023,-0.7437751172465065,-0.006987829086859934,-0.3582732709314093
google/gemini-2.0-flash-001,US,Bolivia (Plurinational State of),Latin America,1.1004550655564243,-1.355746711142824,-0.6173669594872778,-0.5752802330109268,-1.393171978690677
google/gemini-2.0-flash-001,US,Myanmar,West & South Asia,0.7072495791987956,-1.7925552658535833,-0.951922219114103,-1.3097248101295966,-1.468716876886647
google/gemini-2.0-flash-001,US,Belarus,Orthodox Europe,1.3798115590993754,-1.6777137969074456,0.12649214056278338,-0.35408348822491054,0.5162135084157988
google/gemini-2.0-flash-001,US,Canada,English-Speaking,1.8260160768211922,2.7963718388678065,2.737539087868972,3.1532396631247863,0.9467347800732967
google/gemini-2.0-flash-001,US,Chile,Latin America,1.3628934564385855,-1.1219522253047063,-0.489595012670779,0.20003043118159092,-0.15817318244146625
google/gemini-2.0-flash-001,US,China,Confucian,1.541432412501922,-1.529825784096655,0.6630198609188405,0.010807441670622546,0.7126499523292849
google/gemini-2.0-flash-001,US,Taiwan (Province of China),Confucian,0.7798958127083506,-0.34839386132999817,0.6075005606832279,-0.14565848581284907,1.3605847831935254
google/gemini-2.0-flash-001,US,Colombia,Latin America,1.9126469529248995,-1.1219522253047063,-0.489595012670779,0.10379883726142179,-1.9578431862269086
google/gemini-2.0-flash-001,US,Croatia,Catholic Europe,1.8326109373318802,-1.1219522253047063,-0.489595012670779,0.45501315407031073,0.44402323901512325
google/gemini-2.0-flash-001,US,Czechia,Catholic Europe,2.285762022059842,-0.7104090071496546,1.5185869841969764,1.5574141308735647,1.8043950249124474
google/gemini-2.0-flash-001,US,Cyprus,Catholic Europe,0.7882873234878753,-0.8974523524620733,0.01876519648067556,-0.25019046570398423,-0.43117808252461964
google/gemini-2.0-flash-001,US,Denmark,Protestant Europe,1.8722973755999204,4.33208581699789,3.6943496812057672,4.331439033725113,1.8220524173211705
google/gemini-2.0-flash-001,US,Ecuador,Latin America,1.680107847581035,-1.234202161726023,-0.7437751172465065,-0.2147177301742284,-2.079220313923215
google/gemini-2.0-flash-001,US,France,Catholic Europe,2.601098520450563,0.2216231464546426,1.9839354216874223,2.6982492282014627,1.1889280227900905
google/gemini-2.0-flash-001,US,Estonia,Orthodox Europe,0.8192652683356102,-0.4913987364421487,1.4000667830232925,0.32624025874162993,1.3484716916300177
google/gemini-2.0-flash-001,US,Finland,Protestant Europe,2.425697638208028,3.3019021175458447,3.726426905709533,2.954336080178104,1.3257588983256527
google/gemini-2.0-flash-001,US,Georgia,Orthodox Europe,0.3712461804300989,-1.9048052022749,-1.20610232368983,-1.5463722153765616,-1.1094094057119706
google/gemini-2.0-flash-001,US,Ethiopia,African-Islamic,1.7143734516336693,-2.8294350579065535,-1.4927901443275011,-1.130350356691475,-1.264344286927529
google/gemini-2.0-flash-001,US,Germany,Protestant Europe,0.49912811289363784,2.37632967059969,2.317934461995208,2.3356601582207213,1.8204660068710454
google/gemini-2.0-flash-001,US,"Palestine, State of",African-Islamic,1.1727657141059178,-2.8294350579065535,-1.4927901443275011,-1.7493311980471842,-1.0358929216403245
google/gemini-2.0-flash-001,US,Ghana,African-Islamic,1.768223940597659,-2.75238389375663,-1.4507961307380752,-1.226335376610567,-2.343988062754378
google/gemini-2.0-flash-001,US,Greece,Orthodox Europe,1.3268937677197261,-1.1219522253047063,-0.489595012670779,-0.017745377687512047,0.24618641444514727
google/gemini-2.0-flash-001,US,Guatemala,Latin America,2.2267133397586494,-1.9048052022749,-1.20610232368983,0.3189093260149436,-1.0905774599946232
google/gemini-2.0-flash-001,US,Haiti,Latin America,2.230983970696096,-1.9048052022749,-1.20610232368983,0.2695666841500472,-0.7067063114633249
google/gemini-2.0-flash-001,US,Hungary,Catholic Europe,1.3071649161350263,-1.0749067826115217,0.565464992933033,0.2027855983063859,0.8414764016077813
google/gemini-2.0-flash-001,US,Hong Kong,Confucian,1.249977544408134,-0.5801228709613786,1.4411978037702435,0.6209692337708461,1.7873503965302906
google/gemini-2.0-flash-001,US,Iceland,Protestant Europe,2.7156492372173746,4.605024543945122,3.7700230014764,4.019379221379728,1.1182744583908033
google/gemini-2.0-flash-001,US,India,West & South Asia,0.7536419844964354,-1.355746711142824,-0.6173669594872778,-0.6646464329683095,-0.9179607822828135
google/gemini-2.0-flash-001,US,Indonesia,West & South Asia,1.4864752447785612,-2.75238389375663,-1.4507961307380752,-1.272024085707198,-1.3160983503134072
google/gemini-2.0-flash-001,US,Ireland,Catholic Europe,2.0412759138951393,-0.33909924833451344,0.22691229834827215,1.4824002249939507,-0.6944709147137871
google/gemini-2.0-flash-001,US,Japan,Confucian,1.8902138632109047,-0.12814724033791913,1.729019810563069,1.722075380317666,2.1157816270458634
google/gemini-2.0-flash-001,US,Iran (Islamic Republic of),West & South Asia,1.4230636741732658,-2.75238389375663,-1.4507961307380752,-1.4163571972801807,-0.9607523703923887
google/gemini-2.0-flash-001,US,Italy,Catholic Europe,2.0270792558831947,-0.7759078030452718,-0.10764296127855284,1.1515432521126132,0.5200374825802009
google/gemini-2.0-flash-001,US,Iraq,African-Islamic,1.456375231225743,-2.8294350579065535,-1.4927901443275011,-1.5145277741268064,-0.8666530593446642
google/gemini-2.0-flash-001,US,Kazakhstan,Orthodox Europe,1.630186320737381,-2.3248699520413565,-0.7356526087762947,-0.706164897326559,-0.542516941019031
google/gemini-2.0-flash-001,US,Jordan,African-Islamic,1.1323702553761692,-2.8294350579065535,-1.4927901443275011,-1.8128811801465694,-1.991669497349682
google/gemini-2.0-flash-001,US,Korea (the Republic of),Confucian,1.0820895657562066,-0.7944970290362418,0.6535335633913588,0.03357528548330936,1.350106653773617
google/gemini-2.0-flash-001,US,Latvia,Orthodox Europe,0.9400732607320986,-0.9512108046989861,0.7843981956423356,-0.03948197563722737,1.0135013990270865
google/gemini-2.0-flash-001,US,Lebanon,African-Islamic,0.7074110986236226,-1.7017911334022595,-0.9993190108795041,-1.1774434313814164,-0.52446119022016
google/gemini-2.0-flash-001,US,Kenya,African-Islamic,1.7403341579204739,-1.9048052022749,-1.20610232368983,-0.18578096176712441,-0.9345905527268941
