model,stage,country,language,native_PC1,native_PC2,roleplay_PC1,roleplay_PC2,distance_to_native,is_english
mistral-nemo,Stage3,Algeria,en,6.0520725982,-0.4710848812,-0.6770646167274611,1.0662161232270362,6.902505489714157,True
mistral-nemo,Stage3,Argentina,en,6.0520725982,-0.4710848812,0.941195380743814,3.619175747263663,6.546090278988875,True
mistral-nemo,Stage3,Argentina,es,6.0520725982,-0.4710848812,3.1294995813459923,1.9953757746740697,3.824246488632484,False
mistral-nemo,Stage3,Australia,en-native,6.0520725982,-0.4710848812,4.421105454024056,2.626847283905271,3.5010337794678965,True
mistral-nemo,Stage3,Austria,de,6.0520725982,-0.4710848812,3.7753835612726583,4.123054792812458,5.127322138816757,False
mistral-nemo,Stage3,Austria,en,6.0520725982,-0.4710848812,2.795704947225915,4.175517077921596,5.674049704119901,True
mistral-nemo,Stage3,Belgium,de,6.0520725982,-0.4710848812,3.799406352853972,3.3760507293592634,4.45813387180719,False
mistral-nemo,Stage3,Belgium,en,6.0520725982,-0.4710848812,4.397082662442743,3.3738513473584675,4.185991673324162,True
mistral-nemo,Stage3,Belgium,fr,6.0520725982,-0.4710848812,5.943382093910652,2.117739215961392,2.591104751214464,False
mistral-nemo,Stage3,Bolivia,en,6.0520725982,-0.4710848812,1.119791781849851,0.3128862286914016,4.994197107892323,True
mistral-nemo,Stage3,Bolivia,es,6.0520725982,-0.4710848812,0.9089921570531132,0.1465372204956315,5.18003218953421,False
mistral-nemo,Stage3,Brazil,en,6.0520725982,-0.4710848812,0.9892409639064392,2.125167620357272,5.689709237654065,True
mistral-nemo,Stage3,Brazil,pt,6.0520725982,-0.4710848812,0.2486331510041427,2.5665543337661325,6.550355823737289,False
mistral-nemo,Stage3,Belarus,en,6.0520725982,-0.4710848812,1.6480748281706137,2.591097223206848,5.363968269758255,True
mistral-nemo,Stage3,Belarus,ru,6.0520725982,-0.4710848812,-0.5188155360794984,1.2544463367269103,6.793675651461101,False
mistral-nemo,Stage3,Canada,en-native,6.0520725982,-0.4710848812,3.644470083761312,3.291650739652646,4.467071660491338,True
mistral-nemo,Stage3,Canada,fr,6.0520725982,-0.4710848812,5.769989670585125,1.2310809186559388,1.7253808820811092,False
mistral-nemo,Stage3,Chile,en,6.0520725982,-0.4710848812,2.144996637948478,1.737807936855797,4.488256904504668,True
mistral-nemo,Stage3,Chile,es,6.0520725982,-0.4710848812,1.906134964174816,1.6359354868410187,4.650627236896765,False
mistral-nemo,Stage3,China,en,6.0520725982,-0.4710848812,1.696120411333239,1.0970890963004565,4.6296316352361035,True
mistral-nemo,Stage3,China,zh-cn,6.0520725982,-0.4710848812,2.26742413907319,2.551462923201994,4.843486263949372,False
mistral-nemo,Stage3,"Taiwan, Province of China",en,6.0520725982,-0.4710848812,2.1257981757179367,2.794842123236404,5.107045137742939,True
mistral-nemo,Stage3,"Taiwan, Province of China",zh-tw,6.0520725982,-0.4710848812,1.668889370935342,1.4033502253375718,4.767158710636215,False
mistral-nemo,Stage3,Colombia,en,6.0520725982,-0.4710848812,0.6285362885705613,1.817343883871399,5.886565409020366,True
mistral-nemo,Stage3,Colombia,es,6.0520725982,-0.4710848812,1.1825888241419122,1.3231662467789225,5.1895288163829125,False
mistral-nemo,Stage3,Ecuador,en,6.0520725982,-0.4710848812,0.1508129410232382,1.6135989838418423,6.258655794864244,True
mistral-nemo,Stage3,Ecuador,es,6.0520725982,-0.4710848812,1.2176119918307553,1.2658415786156925,5.1370149777223695,False
mistral-nemo,Stage3,France,en,6.0520725982,-0.4710848812,4.640768665567176,3.785753920300657,4.484691223732847,True
mistral-nemo,Stage3,France,fr,6.0520725982,-0.4710848812,4.963703479863908,2.17020150107053,2.856736090526289,False
mistral-nemo,Stage3,Palestine,ar,6.0520725982,-0.4710848812,2.382309749991585,0.9428900373439892,3.93274515222665,False
mistral-nemo,Stage3,Palestine,en,6.0520725982,-0.4710848812,0.2545684141566571,2.5077619650242893,6.518019890830378,True
mistral-nemo,Stage3,Germany,de,6.0520725982,-0.4710848812,3.0345666209995765,4.277389527936375,5.626131133973268,False
mistral-nemo,Stage3,Germany,en,6.0520725982,-0.4710848812,3.9754834128492655,3.0411533309669263,4.080200963643966,True
mistral-nemo,Stage3,Ghana,en-native,6.0520725982,-0.4710848812,0.3094258079435735,-0.2631589660050196,5.746409778622832,True
mistral-nemo,Stage3,Guatemala,en,6.0520725982,-0.4710848812,0.7391035723282716,1.434594060930929,5.644400065583023,True
