model_name,country,native_language,en_distance,native_distance,english_advantage,internet_collectivity_index,colonial_power,has_colonial_history,gdp_per_capita,HDI,freedom_on_net
llama-3.3-70b-instruct,Belarus,ru,0.8779228991084269,1.729437281390252,49.23649972419432,,RU,1,7994.64806074889,0.824,22.0
mistral-medium-3.1,Belarus,ru,1.6773882347544844,0.4026362220422118,-316.6014240464013,,RU,1,7994.64806074889,0.824,22.0
mistral-nemo,Belarus,ru,2.891449898174351,0.7546400473620687,-283.15616939251333,,RU,1,7994.64806074889,0.824,22.0
phi-3-mini-128k-instruct,Belarus,ru,2.1991317975506255,4.430807997613447,50.36725132898701,,RU,1,7994.64806074889,0.824,22.0
qwen3-max,Belarus,ru,0.8779228991084269,1.7672398586563132,50.32236881665069,,RU,1,7994.64806074889,0.824,22.0
claude-3-7-sonnet-20250219,Belgium,fr,3.373835211237786,2.3410322682749323,-44.11741593480508,59.53,,0,50605.7496677086,0.951,
claude-sonnet-4.5,Belgium,fr,2.289405149657307,2.739000238717696,16.41456918130368,59.53,,0,50605.7496677086,0.951,
deepseek-chat,Belgium,fr,2.367978512864877,0.8435554206080805,-180.71404142692955,59.53,,0,50605.7496677086,0.951,
deepseek-chat-v3.1,Belgium,fr,3.317086055153245,2.7857790346115814,-19.07211641485209,59.53,,0,50605.7496677086,0.951,
doubao-1-5-pro-32k-250115,Belgium,fr,2.817854473935323,1.3952339296933096,-101.96286901901271,59.53,,0,50605.7496677086,0.951,
gemini-2.5-flash,Belgium,fr,2.5259474916593723,1.3551693471151258,-86.3934937014765,59.53,,0,50605.7496677086,0.951,
gemini-2.5-pro,Belgium,fr,3.3899065856592148,2.11599871329198,-60.20362225954966,59.53,,0,50605.7496677086,0.951,
gemini-3-pro-preview,Belgium,fr,4.143748564080078,3.665837461321257,-13.036887417986364,59.53,,0,50605.7496677086,0.951,
gemma-3-4b-it,Belgium,fr,2.2404762161273917,3.904690121947717,42.62089573935744,59.53,,0,50605.7496677086,0.951,
