model_name,model_region,roleplay_country,real_country,country_code,cultural_region,distance,roleplay_pc1,roleplay_pc2,real_pc1,real_pc2
anthropic/claude-3.7-sonnet,,Canada,Canada,Canada,,2.713300661078195,5.83188199120301,1.3546716892742912,3.147189595930961,0.9616993999512422
deepseek/deepseek-chat-v3-0324,,Canada,Canada,Canada,,3.935090485966156,7.011659776319546,0.21953543044802584,3.147189595930961,0.9616993999512422
google/gemini-2.0-flash-001,,Canada,Canada,Canada,,2.476492885049475,3.6683292357483483,3.3827385333631073,3.147189595930961,0.9616993999512422
meta-llama/llama-3.3-70b-instruct,,Canada,Canada,Canada,,2.769544662251167,5.525005625009333,2.38168833232427,3.147189595930961,0.9616993999512422
mistralai/mistral-nemo,,Canada,Canada,Canada,,3.0019027907532085,6.144208617052721,1.1328640930578253,3.147189595930961,0.9616993999512422
openai/gpt-4o-mini,,Canada,Canada,Canada,,4.0826751912744434,7.228501705306466,1.0671896047699128,3.147189595930961,0.9616993999512422
anthropic/claude-3.7-sonnet,,Chile,Chile,Chile,,2.022430128661359,1.875276063363117,0.9758138893690561,0.2046998260494046,-0.16409780047360864
deepseek/deepseek-chat-v3-0324,,Chile,Chile,Chile,,0.5453642309924331,0.481669186817158,0.3057001535894865,0.2046998260494046,-0.16409780047360864
google/gemini-2.0-flash-001,,Chile,Chile,Chile,,1.5401100731727793,-0.39522530802068856,1.2543622345641234,0.2046998260494046,-0.16409780047360864
meta-llama/llama-3.3-70b-instruct,,Chile,Chile,Chile,,2.4746723522359266,2.447309908995783,0.8821828821293598,0.2046998260494046,-0.16409780047360864
openai/gpt-4o-mini,,Chile,Chile,Chile,,5.413467662659292,5.327212499433622,1.586758003319477,0.2046998260494046,-0.16409780047360864
anthropic/claude-3.7-sonnet,,China,China,China,,0.41502097585340775,0.27962823975578965,0.38817607716148717,0.009392684809057689,0.7031604501721918
deepseek/deepseek-chat-v3-0324,,China,China,China,,0.7265688580330183,0.513553832485425,0.17997420930088182,0.009392684809057689,0.7031604501721918
openai/gpt-4o-mini,,China,China,China,,0.9015703843355257,0.48052591412665896,-0.06551544911415642,0.009392684809057689,0.7031604501721918
anthropic/claude-3.7-sonnet,,Colombia,Colombia,Colombia,,2.305078384450776,0.94299964695224,0.1938508234387405,0.12245400243427516,-1.9602362694441815
deepseek/deepseek-chat-v3-0324,,Colombia,Colombia,Colombia,,1.4261700663213923,1.291483674980669,-1.1433331645552143,0.12245400243427516,-1.9602362694441815
google/gemini-2.0-flash-001,,Colombia,Colombia,Colombia,,2.2196004864675127,-0.6356518197953523,0.1258849834623603,0.12245400243427516,-1.9602362694441815
mistralai/mistral-nemo,,Colombia,Colombia,Colombia,,3.7245907301369865,2.770463345071375,0.6590427589010242,0.12245400243427516,-1.9602362694441815
openai/gpt-4o-mini,,Colombia,Colombia,Colombia,,5.868664765652585,5.046117741128497,1.2333137176203306,0.12245400243427516,-1.9602362694441815
