model_name,country,native_language,cultural_region,is_islamic,language_family,model_origin,d_english,d_native,d_diff,english_advantage_pct,ea_winsorized,log_ratio,internet_collectivity_index,colonial_power,gdp_per_capita,HDI,has_colonial_history,freedom_on_net
gemini-3-pro-preview,Belgium,de,Catholic Europe,False,Germanic,US,4.1437892860841945,2.719767960082034,-1.4240213260021606,-52.358191834836134,-52.358191834836134,0.4210640878361911,59.53,,50605.7496677086,0.951,0,
gemma-3-4b-it,Belgium,de,Catholic Europe,False,Germanic,US,2.240484457649811,1.94567566815722,-0.2948087894925908,-15.152000629776536,-15.152000629776536,0.141082814246446,59.53,,50605.7496677086,0.951,0,
gpt-4o,Belgium,de,Catholic Europe,False,Germanic,US,1.9518983954466136,1.9340573600951725,-0.0178410353514411,-0.9224667127020044,-0.9224667127020044,0.0091823797443026,59.53,,50605.7496677086,0.951,0,
gpt-4o-mini,Belgium,de,Catholic Europe,False,Germanic,US,3.887352485751336,2.7122164135720706,-1.1751360721792654,-43.32751864116831,-43.32751864116831,0.3599621655887629,59.53,,50605.7496677086,0.951,0,
gpt-5.1,Belgium,de,Catholic Europe,False,Germanic,US,4.406966168968705,3.1877569432669164,-1.219209225701789,-38.246618151894104,-38.246618151894104,0.3238689922843732,59.53,,50605.7496677086,0.951,0,
grok-4.1-fast,Belgium,de,Catholic Europe,False,Germanic,US,3.203597963620092,3.0460818133338674,-0.1575161502862245,-5.171107013498982,-5.171107013498982,0.0504184284321488,59.53,,50605.7496677086,0.951,0,
kimi-k2,Belgium,de,Catholic Europe,False,Germanic,China,4.543926164527841,3.3463192949082448,-1.1976068696195965,-35.78878056980018,-35.78878056980018,0.3059304084171751,59.53,,50605.7496677086,0.951,0,
llama-3.2-3b-instruct,Belgium,de,Catholic Europe,False,Germanic,US,0.82531972081732,1.5900532996392107,0.7647335788218907,48.09483927333831,48.09483927333831,-0.6557519647931699,59.53,,50605.7496677086,0.951,0,
llama-3.3-70b-instruct,Belgium,de,Catholic Europe,False,Germanic,US,3.8093989671988826,3.332310871159585,-0.4770880960392976,-14.31703446903438,-14.31703446903438,0.133805406683292,59.53,,50605.7496677086,0.951,0,
mistral-medium-3.1,Belgium,de,Catholic Europe,False,Germanic,Europe,2.3068606801234424,3.1531223321155513,0.8462616519921089,26.83884616123725,26.83884616123725,-0.3125055911468916,59.53,,50605.7496677086,0.951,0,
mistral-nemo,Belgium,de,Catholic Europe,False,Germanic,Europe,3.167163353383765,2.833665841587899,-0.333497511795866,-11.769119241278794,-11.769119241278794,0.1112651222788798,59.53,,50605.7496677086,0.951,0,
phi-3-mini-128k-instruct,Belgium,de,Catholic Europe,False,Germanic,US,1.2559010452484545,2.1778097751358367,0.9219087298873824,42.331921750598255,42.331921750598255,-0.5504664021446861,59.53,,50605.7496677086,0.951,0,
qwen3-max,Belgium,de,Catholic Europe,False,Germanic,China,1.561007517744522,2.16497185530691,0.6039643375623882,27.897098804398507,27.897098804398507,-0.3270759040101813,59.53,,50605.7496677086,0.951,0,
claude-3-7-sonnet-20250219,Belgium,fr,Catholic Europe,False,Romance,US,3.373810165233805,2.3410593459855,-1.0327508192483053,-44.11467915237985,-44.11467915237985,0.3654391796458654,59.53,,50605.7496677086,0.951,0,
claude-sonnet-4.5,Belgium,fr,Catholic Europe,False,Romance,US,2.2894055713378076,2.7389861295509093,0.4495805582131016,16.4141232174409,16.4141232174409,-0.1792956181767343,59.53,,50605.7496677086,0.951,0,
deepseek-chat,Belgium,fr,Catholic Europe,False,Romance,China,2.367927150817346,0.8435554128646241,-1.524371737952722,-180.7079552457755,-180.7079552457755,1.0321446377183592,59.53,,50605.7496677086,0.951,0,
deepseek-chat-v3.1,Belgium,fr,Catholic Europe,False,Romance,China,3.3171260476779767,2.7857475725958234,-0.5313784750821533,-19.074896817984214,-19.074896817984214,0.1745824941688265,59.53,,50605.7496677086,0.951,0,
doubao-1-5-pro-32k-250115,Belgium,fr,Catholic Europe,False,Romance,China,2.817862269222033,1.3952746378962884,-1.4225876313257446,-101.95753529001551,-101.95753529001551,0.7028872679769542,59.53,,50605.7496677086,0.951,0,
gemini-2.5-flash,Belgium,fr,Catholic Europe,False,Romance,US,2.525950332277933,1.3551662910534203,-1.1707840412245127,-86.39412365506963,-86.39412365506963,0.6226931903108267,59.53,,50605.7496677086,0.951,0,
gemini-2.5-pro,Belgium,fr,Catholic Europe,False,Romance,US,3.38986362197146,2.115971516490033,-1.2738921054814272,-60.203650926008464,-60.203650926008464,0.4712756381867865,59.53,,50605.7496677086,0.951,0,
gemini-3-pro-preview,Belgium,fr,Catholic Europe,False,Romance,US,4.1437892860841945,3.665815931970699,-0.4779733541134954,-13.038662141897086,-13.038662141897086,0.1225597170553787,59.53,,50605.7496677086,0.951,0,
gemma-3-4b-it,Belgium,fr,Catholic Europe,False,Romance,US,2.240484457649811,3.904724471041813,1.6642400133920017,42.62118942666315,42.62118942666315,-0.5554951045912181,59.53,,50605.7496677086,0.951,0,
gpt-4o,Belgium,fr,Catholic Europe,False,Romance,US,1.9518983954466136,2.255118310168271,0.3032199147216576,13.445853964931542,13.445853964931542,-0.1444000021617467,59.53,,50605.7496677086,0.951,0,
gpt-4o-mini,Belgium,fr,Catholic Europe,False,Romance,US,3.887352485751336,2.7138751240765617,-1.1734773616747742,-43.23991738839009,-43.23991738839009,0.3593507824063563,59.53,,50605.7496677086,0.951,0,
gpt-5.1,Belgium,fr,Catholic Europe,False,Romance,US,4.406966168968705,3.1506104197513096,-1.2563557492173958,-39.87658205347283,-39.87658205347283,0.3355902910606272,59.53,,50605.7496677086,0.951,0,
grok-4.1-fast,Belgium,fr,Catholic Europe,False,Romance,US,3.203597963620092,3.230453665228902,0.02685570160881,0.8313291070499561,0.8313291070499561,-0.0083480391895392,59.53,,50605.7496677086,0.951,0,
kimi-k2,Belgium,fr,Catholic Europe,False,Romance,China,4.543926164527841,2.87788237273976,-1.666043791788081,-57.89130951179211,-57.89130951179211,0.4567366958348104,59.53,,50605.7496677086,0.951,0,
llama-3.2-3b-instruct,Belgium,fr,Catholic Europe,False,Romance,US,0.82531972081732,1.032006141738049,0.206686420920729,20.027634774793004,20.027634774793004,-0.2234890456754263,59.53,,50605.7496677086,0.951,0,
llama-3.3-70b-instruct,Belgium,fr,Catholic Europe,False,Romance,US,3.8093989671988826,3.332310871159585,-0.4770880960392976,-14.31703446903438,-14.31703446903438,0.133805406683292,59.53,,50605.7496677086,0.951,0,
mistral-medium-3.1,Belgium,fr,Catholic Europe,False,Romance,Europe,2.3068606801234424,2.663395086694007,0.3565344065705647,13.386463328394896,13.386463328394896,-0.1437140700301044,59.53,,50605.7496677086,0.951,0,
mistral-nemo,Belgium,fr,Catholic Europe,False,Romance,Europe,3.167163353383765,3.7314798609056448,0.5643165075218799,15.123128853894393,15.123128853894393,-0.163968554448196,59.53,,50605.7496677086,0.951,0,
phi-3-mini-128k-instruct,Belgium,fr,Catholic Europe,False,Romance,US,1.2559010452484545,0.996233053705276,-0.2596679915431785,-26.064984551295396,-26.064984551295396,0.2316273384169637,59.53,,50605.7496677086,0.951,0,
qwen3-max,Belgium,fr,Catholic Europe,False,Romance,China,1.561007517744522,2.670275833999865,1.109268316255343,41.54133824421223,41.54133824421223,-0.5368503181888395,59.53,,50605.7496677086,0.951,0,
claude-3-7-sonnet-20250219,Bolivia,es,Latin America,False,Romance,US,1.5397062634648817,1.5397062634648817,0.0,0.0,0.0,0.0,40.84,ES,4219.46113742445,0.733,1,
claude-sonnet-4.5,Bolivia,es,Latin America,False,Romance,US,1.3108011327628053,1.506529659853072,0.1957285270902666,12.992012856179386,12.992012856179386,-0.1391702652966318,40.84,ES,4219.46113742445,0.733,1,
deepseek-chat,Bolivia,es,Latin America,False,Romance,China,0.4420540462443555,0.202964975734398,-0.2390890705099574,-117.79819136028269,-117.79819136028269,0.7783987203453556,40.84,ES,4219.46113742445,0.733,1,
deepseek-chat-v3.1,Bolivia,es,Latin America,False,Romance,China,0.4558483578209844,0.4533237908911103,-0.002524566929874,-0.5569014864433677,-0.5569014864433677,0.0055535652340932,40.84,ES,4219.46113742445,0.733,1,
doubao-1-5-pro-32k-250115,Bolivia,es,Latin America,False,Romance,China,1.111686102750066,0.6743636576521885,-0.4373224450978774,-64.84964605305464,-64.84964605305464,0.4998636364424462,40.84,ES,4219.46113742445,0.733,1,
gemini-2.5-flash,Bolivia,es,Latin America,False,Romance,US,0.0854077225569907,0.8565036236986798,0.771095901141689,90.02832910523243,90.02832910523243,-2.30542202380284,40.84,ES,4219.46113742445,0.733,1,
gemini-2.5-pro,Bolivia,es,Latin America,False,Romance,US,0.5222437059723705,1.176281501971049,0.6540377959986786,55.602149222166034,55.602149222166034,-0.8119791236261563,40.84,ES,4219.46113742445,0.733,1,
gemini-3-pro-preview,Bolivia,es,Latin America,False,Romance,US,0.8565036236986798,0.8565036236986798,0.0,0.0,0.0,0.0,40.84,ES,4219.46113742445,0.733,1,
gemma-3-4b-it,Bolivia,es,Latin America,False,Romance,US,2.5174651927687837,2.428494026103639,-0.0889711666651447,-3.663635393326175,-3.663635393326175,0.0359811965166717,40.84,ES,4219.46113742445,0.733,1,
gpt-4o,Bolivia,es,Latin America,False,Romance,US,0.5076239061190764,1.218467388628882,0.7108434825098056,58.339147123970555,58.339147123970555,-0.8756082780645454,40.84,ES,4219.46113742445,0.733,1,
