country,model,fr_distance,ar_distance,advantage
Tunisia,kimi-k2,0.7494311752514894,2.0478815474046366,63.40456428247651
Tunisia,gpt-4o-mini,2.489121978828815,2.1202118826896865,-17.399680623954026
Tunisia,gemini-2.5-flash,1.9306598387629386,1.1272856248211576,-71.26625198198862
Tunisia,gpt-5.1,1.811261405830064,1.5024224180851338,-20.55606892091982
Tunisia,llama-3.3-70b-instruct,1.4915919824578234,1.0692530296652585,-39.49850419640923
Tunisia,deepseek-chat-v3.1,1.4473851266301858,1.4534392770062585,0.41653961550721463
Tunisia,claude-sonnet-4.5,0.8281227369067525,0.25454871068094054,-225.32977075053736
Tunisia,deepseek-chat,1.465259429684818,0.9962786509755774,-47.07325387832054
Tunisia,mistral-medium-3.1,0.4214030553224504,0.882464575562338,52.247028720227405
Tunisia,claude-3-7-sonnet-20250219,1.6400126535542985,1.6603471329795472,1.2247125327796842
Tunisia,mistral-nemo,3.2418517513826868,4.7192248084246655,31.305418093340286
Tunisia,grok-4.1-fast,1.4281660327999466,1.2327484394321826,-15.85218744691946
Tunisia,doubao-1-5-pro-32k-250115,1.3283038140682122,0.9577173790212852,-38.69475934806971
Tunisia,gpt-4o,0.389566325454563,1.8025354805787943,78.38786921800434
Tunisia,qwen3-max,1.535273280505195,0.4050716960116453,-279.01272678924914
Tunisia,gemini-3-pro-preview,0.4675514121563206,1.0148973751104418,53.931163522278155
Tunisia,llama-3.2-3b-instruct,3.4806482103967435,6.845923164499104,49.15735793754833
Tunisia,gemma-3-4b-it,5.499003500864615,4.505024906293045,-22.063775789187908
Yemen,kimi-k2,2.4732622495896677,0.6960106763277493,-255.34832060895232
Yemen,gpt-4o-mini,1.2269159809872543,1.4653831821109984,16.2733682244267
Yemen,grok-4.1-fast,5.349836460534528,4.042787476030336,-32.33039065876399
Yemen,mistral-nemo,1.8010736811372525,2.49556657613283,27.82906701979375
Yemen,gpt-5.1,0.9093515572678494,1.6657496640480514,45.40887043867249
Yemen,gemini-2.5-pro,2.4732622495896677,1.8229112428895302,-35.676504231179905
Yemen,gemini-2.5-flash,2.4732622495896677,3.3302561921253657,25.73357402839226
Yemen,qwen3-max,5.349836460534528,2.6444467055700995,-102.30456712422912
Yemen,doubao-1-5-pro-32k-250115,1.0306832256462803,2.6057909715096357,60.44643500130152
Yemen,gpt-4o,2.4732622495896677,0.6960106763277493,-255.34832060895232
Yemen,llama-3.2-3b-instruct,4.17169716472238,6.065583928622574,31.22348624941498
Yemen,deepseek-chat,1.8412233243664702,2.6444467055700995,30.37396743567451
Yemen,deepseek-chat-v3.1,3.2691117001249967,1.8229112428895302,-79.33466112936291
Yemen,gemini-3-pro-preview,2.6030490962178887,1.8229112428895302,-42.79626100126233
Yemen,claude-sonnet-4.5,1.2482819797183302,2.6444467055700995,52.79609995206083
Yemen,mistral-medium-3.1,1.8412233243664702,2.6444467055700995,30.37396743567451
Yemen,gemma-3-4b-it,2.7340557671161947,3.2876211341507426,16.83786982886472
Yemen,llama-3.3-70b-instruct,2.631816483082489,1.8229112428895302,-44.37436234749137
